序号,编号,分类号,单位名称（中文）,时代（中文）,地址（中文）,类型（中文）,批次（中文）,省级政区名称（中文）,市级政区名称（中文）,县级政区名称（中文）
4722,419,8-0419-3-222,琼山侯家大院,清,海南省海口市琼山区,古建筑,第八批,海南省,海口市,琼山区
4723,420,8-0420-3-223,溪北书院,清,海南省文昌市,古建筑,第八批,海南省,文昌市,文昌市
4724,421,8-0421-3-224,湾底谭氏民居,清,重庆市石柱土家族自治县,古建筑,第八批,重庆市,重庆市,石柱土家族自治县
4733,430,8-0430-3-233,福宝古建筑群,明清,四川省合江县,古建筑,第八批,四川省,泸州市,合江县
4735,432,8-0432-3-235,井研雷氏民居,清,四川省井研县,古建筑,第八批,四川省,乐山市,井研县
4736,433,8-0433-3-236,屏山龙氏山庄,清,四川省屏山县,古建筑,第八批,四川省,宜宾市,屏山县
4737,434,8-0434-3-237,自贡玉川公祠,清,四川省自贡市自流井区,古建筑,第八批,四川省,自贡市,自流井区
4743,440,8-0440-3-243,蒙自玉皇阁,明清,云南省蒙自市,古建筑,第八批,云南省,红河哈尼族彝族自治州,蒙自市
4745,442,8-0442-3-245,新安所古建筑群,明清,云南省蒙自市,古建筑,第八批,云南省,红河哈尼族彝族自治州,蒙自市
4746,443,8-0443-3-246,期纳古建筑群,明清,云南省永胜县,古建筑,第八批,云南省,丽江市,永胜县
4749,446,8-0446-3-249,云南提督府旧址,清,云南省大理市,古建筑,第八批,云南省,大理白族自治州,大理市
4750,447,8-0447-3-250,叶枝土司衙署,清,云南省维西傈僳族自治县,古建筑,第八批,云南省,迪庆藏族自治州,维西傈僳族自治县
4751,448,8-0448-3-251,洄澜桥阁,清,云南省石屏县,古建筑,第八批,云南省,红河哈尼族彝族自治州,石屏县
4753,450,8-0450-3-253,流浪河磨房群,清,云南省凤庆县,古建筑,第八批,云南省,临沧市,凤庆县
4755,452,8-0452-3-255,海口川字闸,清,云南省昆明市西山区,古建筑,第八批,云南省,昆明市,西山区
4756,453,8-0453-3-256,建水学政考棚,清,云南省建水县,古建筑,第八批,云南省,红河哈尼族彝族自治州,建水县
4759,456,8-0456-3-259,曲西碉楼群,北宋至明,西藏自治区洛扎县,古建筑,第八批,西藏自治区,山南地区,洛扎县
4762,459,8-0459-3-262,达律王府,元,西藏自治区贡觉县,古建筑,第八批,西藏自治区,昌都地区,贡觉县
4770,467,8-0467-3-270,蒲城考院,清,陕西省蒲城县,古建筑,第八批,陕西省,渭南市,蒲城县
4772,469,8-0469-3-272,福津广严院,南宋、清,甘肃省陇南市武都区,古建筑,第八批,甘肃省,陇南市,武都区
4775,472,8-0472-3-275,张掖东仓,明清,甘肃省张掖市甘州区,古建筑,第八批,甘肃省,张掖市,甘州区
4779,476,8-0476-3-279,张掖高总兵宅院,清,甘肃省张掖市甘州区,古建筑,第八批,甘肃省,张掖市,甘州区
